Invoice_Number,Date,Time,Internal_Toy_ID_Number,Toy_Item_Number,Toy_Company,Toy_Name,Suggested_Age,Units_Sold,Total_Line_Revenue,Total_COGS,Payment,Cashier_ID,Member,Coupon,Purchaser_Age,Parking_Validation
654522,2010-01-07,10:25,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,V.W.|880-4523,No,No,39,No
654526,2010-01-07,12:00,L217/SN,255,Duplo,Farming Scene,7 and up,5,124.75,81.1,Visa,B.X.|880-9149,No,No,29,No
654568,2010-01-07,14:19,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Cash,Z.Q.|880-4240,No,Yes,46,Yes
654576,2010-01-25,12:57,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,1,9.95,4.48,Discover,D.U.|880-2953,No,No,36,No
654613,2010-02-05,14:51,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,D.Z.|880-1179,No,No,33,No
654624,2010-02-05,14:36,D250/AT,192,Duplo,Policemen,6 and up,5,49.75,25.85,Cash,L.W.|880-4986,No,No,47,No
654650,2010-02-06,14:33,D250/AT,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,D.S.|880-7532,No,No,34,No
654650,2010-02-06,14:33,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Mastercard,D.S.|880-7532,No,No,34,No
654668,2010-02-11,13:42,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Check,D.W.|880-7199,No,No,47,Yes
654673,2010-02-20,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,4,39.8,17.92,Cash,W.B.|880-9647,No,No,32,No
654693,2010-03-11,15:45,D254/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Cash,B.Y.|880-6845,No,No,36,No
654693,2010-03-11,15:45,L195/AE,195,Lego,Airplane,8 and up,1,5.95,3.09,Cash,B.Y.|880-6845,No,No,36,No
654733,2010-03-11,13:59,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,2,19.9,8.96,Visa,P.N.|880-3021,No,No,36,No
654754,2010-03-27,12:08,D255/FE,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,P.N.|880-3021,No,No,33,No
654799,2010-04-03,15:27,D255/FE,192,Duplo,Policemen,6 and up,3,29.85,15.51,Cash,A.U.|880-2167,Yes,No,47,No
654827,2010-04-09,15:58,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Mastercard,A.U.|880-2167,No,No,35,Yes
654834,2010-04-09,12:06,D254/FE,192,Duplo,Policemen,6 and up,2,19.9,10.34,Visa,Z.Q.|880-4240,Yes,Yes,49,No
654860,2010-04-09,17:12,L195/AE,195,Lego,Airplane,8 and up,2,11.9,6.18,Gift Card,B.B.|880-9330,No,Yes,30,No
654883,2010-04-09,12:59,L217/SN,255,Duplo,Farming Scene,7 and up,3,74.85,48.66,Visa,Z.Q.|880-4240,No,No,42,Yes
654908,2010-04-14,19:54,D218/FN,192,Duplo,Policemen,6 and up,1,9.95,5.17,Mastercard,L.C.|880-6872,No,No,39,No
